,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",1059.0,-0.017155843552733974,0.017810537059526416,-0.11398791257253274,-0.02637600761981211,-0.01288054179552623,-0.0016040008042548068,0.0
"(0.0, 0.0, 0.0, 0.0, 0.1, 0.9)",1060.0,-0.01620861922617649,0.016162042637158154,-0.12382195657126369,-0.026470682095444155,-0.012019879129846932,-0.0011806497441137849,0.0
"(0.0, 0.0, 0.0, 0.0, 0.2, 0.8)",1061.0,-0.016701239737820825,0.017760475032848725,-0.10645759710286727,-0.0271105261103248,-0.011399278288840346,-0.0011609372307641059,0.0
"(0.0, 0.0, 0.0, 0.0, 0.3, 0.7)",1061.0,-0.01697040629676788,0.018026874993136585,-0.11485947662664137,-0.026780861626307557,-0.012471543697995151,-0.0016567157769453705,0.0
"(0.0, 0.0, 0.0, 0.0, 0.4, 0.6)",1060.0,-0.017642327983216775,0.01933560252363412,-0.09804880259016437,-0.02771857373200896,-0.01196240014994087,-0.001106358456544961,0.0
"(0.0, 0.0, 0.0, 0.0, 0.5, 0.5)",1061.0,-0.015502627856574061,0.016810620257289643,-0.1129520846026656,-0.02469755314483045,-0.010184303972267656,-0.0013206691029176102,0.0
"(0.0, 0.0, 0.0, 0.0, 0.6, 0.4)",1060.0,-0.01641727539232481,0.018472835910225582,-0.10900697186311917,-0.0257358085816888,-0.01083559139802579,-0.0012425019931276893,0.0
"(0.0, 0.0, 0.0, 0.0, 0.7, 0.3)",1060.0,-0.013625066854980133,0.01516226300289681,-0.0892827515368064,-0.021060372921744733,-0.009390480310788204,-0.0007554842422721642,0.0
"(0.0, 0.0, 0.0, 0.0, 0.8, 0.2)",1060.0,-0.015702827813296554,0.018121792537257635,-0.12201546906879666,-0.024525038138159136,-0.010071801150730248,-0.0007479316410035821,0.0
"(0.0, 0.0, 0.0, 0.0, 0.9, 0.1)",1059.0,-0.015539695975621517,0.01719481645966714,-0.09503163459945205,-0.023792106916910687,-0.010443173690705673,-0.001865021054407253,0.0
