,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",1059.0,2788.4524053590744,2574.0075031020187,-884.0497721488828,622.4382743727456,1765.2960466453733,4960.842903466208,9755.683886129525
"(0.0, 0.0, 0.0, 0.0, 0.1, 0.9)",1060.0,2839.8853477722464,2570.392523069884,-783.8921464395389,668.1017476698034,1815.8618824673822,5008.23822515516,9707.69635180226
"(0.0, 0.0, 0.0, 0.0, 0.2, 0.8)",1061.0,2755.03068802135,2525.2229246846173,-854.182950543327,608.6001267661632,1767.1041599719247,4906.686922411172,9412.152934092534
"(0.0, 0.0, 0.0, 0.0, 0.3, 0.7)",1061.0,2806.297373388108,2535.7363330795824,-830.4752655809352,625.9599036447362,1842.384035432462,4961.099939941247,9462.628797602883
"(0.0, 0.0, 0.0, 0.0, 0.4, 0.6)",1060.0,2800.438549928446,2565.6458764820977,-859.0151456920285,612.7353327611336,1799.1055367879744,4963.317937559224,9521.495360708635
"(0.0, 0.0, 0.0, 0.0, 0.5, 0.5)",1061.0,2673.5563604218937,2513.921777875451,-912.3965108891462,509.58450242537583,1664.7862307002652,4818.2795622527265,9252.318097099487
"(0.0, 0.0, 0.0, 0.0, 0.6, 0.4)",1060.0,2705.532645029417,2528.931613309976,-907.0446573120098,538.1358902081674,1729.4292463734919,4829.266474328473,9370.91825339177
"(0.0, 0.0, 0.0, 0.0, 0.7, 0.3)",1060.0,2754.3966740183305,2574.4212902685654,-881.2461414648751,554.7931459834244,1709.966635173918,4942.387186248194,9542.349421871528
"(0.0, 0.0, 0.0, 0.0, 0.8, 0.2)",1060.0,2769.8791765125247,2551.513608233671,-831.3543875196629,574.1798492222815,1743.8326506916592,4928.881687603089,9528.961646914053
"(0.0, 0.0, 0.0, 0.0, 0.9, 0.1)",1059.0,2647.880352892736,2518.6990594642443,-889.6484598726493,469.6942583917116,1660.600826872973,4740.60747988541,9457.008557428671
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1061.0,2885.518553720343,2591.9642430495664,-694.9005584716797,693.8430023193359,1878.29927444458,5071.86519241333,9766.328182220459
"(0.0, 0.0, 0.0, 0.1, 0.0, 0.9)",1060.0,2304.3890315459007,2110.734780847275,-860.2328971384195,517.1638436317253,1572.9522969233694,4043.4221316202947,8030.639551740191
"(0.0, 0.0, 0.0, 0.1, 0.1, 0.8)",1059.0,2329.8132435943608,2101.2445448982844,-804.0140806105337,545.8016582762557,1626.001475830686,4052.760846003541,8056.855473728603
"(0.0, 0.0, 0.0, 0.1, 0.2, 0.7)",1061.0,2377.8100739157426,2127.9056359470246,-745.1785697640589,602.011062668691,1630.0326700205987,4140.790015143219,8191.549234744343
"(0.0, 0.0, 0.0, 0.1, 0.3, 0.6)",1060.0,2215.2420805313045,2079.792034541519,-872.5876851986795,441.53488119410645,1508.8197853305064,3915.3773263494786,7961.556698480963
"(0.0, 0.0, 0.0, 0.1, 0.4, 0.5)",1061.0,2393.971856438154,2099.521542732368,-672.3300530032684,642.3163837087486,1701.770867872834,4115.568754017906,8199.013091712426
"(0.0, 0.0, 0.0, 0.1, 0.5, 0.4)",1061.0,2257.014383240673,2048.6514319293824,-758.4295429480189,527.7483172244611,1601.445460648105,3955.97957439701,7887.792427849941
