,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",1059.0,8.71910835239837,5.707622313978063,-4.467977957703421,3.7907777714250295,9.664388828119142,13.15766143572775,26.24177609141196
"(0.0, 0.0, 0.0, 0.0, 0.1, 0.9)",1060.0,9.091554854435344,5.8001683140859335,-4.014285041014878,3.9098994536728453,10.139840415183453,13.654735919416337,26.610436778669076
"(0.0, 0.0, 0.0, 0.0, 0.2, 0.8)",1061.0,8.76590880811958,5.794114971295567,-4.394119408951103,3.6430369676881633,9.85710657969036,13.349554946247999,25.77532893170169
"(0.0, 0.0, 0.0, 0.0, 0.3, 0.7)",1061.0,9.054523559471086,5.846273111506605,-4.271986408255418,3.8812968855384664,10.079578566621729,13.772143309659878,26.60529829528255
"(0.0, 0.0, 0.0, 0.0, 0.4, 0.6)",1060.0,8.961785081167388,5.795618292094225,-4.419247403651312,3.817377998110197,10.107008765051308,13.513223254252846,25.882615959145937
"(0.0, 0.0, 0.0, 0.0, 0.5, 0.5)",1061.0,8.424808740070764,5.714364602892005,-4.677407256781631,3.207288720212768,9.58174613408084,12.867563612194477,25.905554668089216
"(0.0, 0.0, 0.0, 0.0, 0.6, 0.4)",1060.0,8.56338078116727,5.87910418273422,-4.467779103555112,3.3779880761522842,9.678992304115326,13.135752924667628,25.39102394437031
"(0.0, 0.0, 0.0, 0.0, 0.7, 0.3)",1060.0,8.63671571715515,5.816229826918876,-4.310141146657606,3.470119470536903,9.789108012584906,13.179521137786828,26.134792154763336
"(0.0, 0.0, 0.0, 0.0, 0.8, 0.2)",1060.0,8.88305548598719,5.743129104967979,-4.283804316775511,3.581473480474269,9.913324994067487,13.38716040143665,26.098094897456527
"(0.0, 0.0, 0.0, 0.0, 0.9, 0.1)",1059.0,8.333831018811443,5.806396918776663,-4.588388262089873,3.081444411617701,9.486176615914678,12.946077764381222,25.287484698122313
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1061.0,9.224622556761618,5.797562779900134,-3.5532533460383036,3.9788527616260816,10.306965341910296,13.806305391427937,26.21933562832424
"(0.0, 0.0, 0.0, 0.1, 0.0, 0.9)",1060.0,7.3556532416472225,4.8826054829758405,-4.345747871753112,3.093025169362978,7.945552025294161,11.155143545694829,23.219577575003424
"(0.0, 0.0, 0.0, 0.1, 0.1, 0.8)",1059.0,7.609774788009144,5.032661964674385,-4.104936953543702,3.312663496410364,8.214524962654794,11.615377499412652,23.267946896678726
"(0.0, 0.0, 0.0, 0.1, 0.2, 0.7)",1061.0,7.752141774852805,4.918518549593266,-3.655827397745133,3.62162856884476,8.249803832728842,11.582984103572432,23.555374880244383
"(0.0, 0.0, 0.0, 0.1, 0.3, 0.6)",1060.0,7.039433074975417,5.039732902157017,-4.4880083977888034,2.716651522436697,7.723535195893036,11.035403908494555,22.76061834480553
"(0.0, 0.0, 0.0, 0.1, 0.4, 0.5)",1061.0,7.9315398358697875,4.798817139114309,-3.4614206298236394,3.984695532692592,8.360062790985625,11.671762245538071,23.015545931649562
"(0.0, 0.0, 0.0, 0.1, 0.5, 0.4)",1061.0,7.334634766945459,4.979501022221611,-3.9251169275806013,3.2576053191908434,7.966787917293471,11.21779574489067,23.050225179468793
"(0.0, 0.0, 0.0, 0.1, 0.6, 0.3)",1061.0,7.519040229812051,4.918651023675331,-3.872659134845801,3.3298503073412618,8.188285996815864,11.334423273741415,23.184810504599483
"(0.0, 0.0, 0.0, 0.1, 0.7, 0.2)",1060.0,7.232529296434451,4.952140507667359,-4.072941689231399,2.9985221006642595,7.8331397056004874,11.112194960606072,22.835361276716576
"(0.0, 0.0, 0.0, 0.1, 0.8, 0.1)",1060.0,7.224228726564828,4.943541262127797,-4.070298342316099,3.0307519509061893,7.745982989190346,11.089952896168294,22.716100608106217
"(0.0, 0.0, 0.0, 0.1, 0.9, 0.0)",1060.0,7.088515584164338,5.065738968743594,-4.298000523388194,2.736663582464918,7.800999886110716,11.095495376239636,22.52058305452176
"(0.0, 0.0, 0.0, 0.2, 0.0, 0.8)",1059.0,6.035515651423342,4.128285106758816,-4.04188779258324,2.7414375716793598,6.114984255030301,9.296535307771006,20.128759309613354
"(0.0, 0.0, 0.0, 0.2, 0.1, 0.7)",1061.0,6.290396659207366,4.176141053917369,-3.51305332490752,3.0534504875392767,6.359017668040294,9.536282660213939,20.390123407965337
"(0.0, 0.0, 0.0, 0.2, 0.2, 0.6)",1059.0,6.320842740752635,4.096570927854925,-3.7597218133582584,3.0585896398098384,6.31415337251363,9.49266723253132,20.191301763901116
"(0.0, 0.0, 0.0, 0.2, 0.3, 0.5)",1059.0,6.182704601869149,4.118527731565454,-3.73510146960346,2.9156750047421127,6.166042765911974,9.516488813599596,19.903057624532465
"(0.0, 0.0, 0.0, 0.2, 0.4, 0.4)",1061.0,6.508175373264457,4.271530328743207,-3.1671645224263236,3.2207284943945154,6.656255919564148,9.87765563342534,19.989955698852377
"(0.0, 0.0, 0.0, 0.2, 0.5, 0.3)",1060.0,5.998149400355933,4.1714582761440315,-3.7683611513116033,2.7308714757972425,6.145047147371777,9.182397817952332,19.835732147504054
"(0.0, 0.0, 0.0, 0.2, 0.6, 0.2)",1061.0,6.123618548145805,4.151302898449585,-3.7165735705968235,2.7991510475197456,6.162800188988514,9.361734232329326,19.395564638614324
"(0.0, 0.0, 0.0, 0.2, 0.8, 0.0)",1060.0,6.5610030451322245,4.200415711050545,-3.009158973571178,3.2694800585943145,6.640856966981342,9.756162367331896,20.27432422580027
"(0.0, 0.0, 0.0, 0.3, 0.0, 0.7)",1061.0,4.936732277873936,3.546774847298234,-3.363784275712689,2.5331644678772016,4.6468047651416935,7.566495031582347,17.310263754020927
"(0.0, 0.0, 0.0, 0.3, 0.1, 0.6)",1059.0,5.02965658237359,3.578324653533651,-3.100578636772866,2.546635948848346,4.6102565330297915,7.759378348445249,17.21240110924651
"(0.0, 0.0, 0.0, 0.3, 0.2, 0.5)",1060.0,5.0411130343603325,3.4195080320968,-3.3588644771036757,2.692802126867896,4.766393249185494,7.627709027583592,16.695749732659294
"(0.0, 0.0, 0.0, 0.3, 0.3, 0.4)",1060.0,4.4140520217757055,3.4499227775658787,-3.7774525241676358,1.9828895675757927,4.2349840024894885,7.0668422267365365,16.364636434847764
"(0.0, 0.0, 0.0, 0.3, 0.4, 0.3)",1061.0,4.820003096919075,3.3699066283810666,-3.209838273902079,2.497806993363934,4.548190592966596,7.390598845293725,16.82670895266865
"(0.0, 0.0, 0.0, 0.3, 0.5, 0.2)",1061.0,5.116758944077299,3.3570897793326417,-2.749890788579301,2.8277022022388616,4.810475294828744,7.7316221934050775,16.642082143028748
"(0.0, 0.0, 0.0, 0.3, 0.7, 0.0)",1059.0,4.913649301694404,3.5227720086885768,-3.110121479498127,2.412315246259328,4.582041058585332,7.6661251610382495,16.83864205484257
"(0.0, 0.0, 0.0, 0.4, 0.0, 0.6)",1061.0,3.7718164329279547,2.932643690629357,-2.923078252463334,1.7970830956193964,3.333233832464255,5.745486391087988,13.969240747849948
"(0.0, 0.0, 0.0, 0.4, 0.1, 0.5)",1059.0,3.3968284975258602,2.833113397689548,-3.2348695965214667,1.4341561879323002,2.9362854027241663,5.2865541026876555,13.648373142019846
"(0.0, 0.0, 0.0, 0.4, 0.2, 0.4)",1061.0,3.4216505630139147,2.929282717700526,-3.2196206079331833,1.4658701296812304,3.1304274577975217,5.470261350379176,13.816737244353591
"(0.0, 0.0, 0.0, 0.4, 0.3, 0.3)",1059.0,3.8896263134851954,2.9300796359301695,-2.686805280062191,1.838163820476362,3.4496167623942697,5.852663667348132,14.21331400757514
"(0.0, 0.0, 0.0, 0.4, 0.4, 0.2)",1060.0,3.675173097821967,2.891619434376431,-2.8231680423101237,1.676902972710025,3.21287061551195,5.565060243231607,13.84193265852523
"(0.0, 0.0, 0.0, 0.4, 0.5, 0.1)",1060.0,3.514154870983767,2.8924493450854847,-2.8770769375898375,1.5733552370393018,3.191125624921387,5.512802727399699,13.690280181368445
"(0.0, 0.0, 0.0, 0.4, 0.6, 0.0)",1061.0,3.55046510870838,2.883278075684743,-2.9637758653543247,1.5902192633789372,3.216985605805135,5.569379368334413,13.76958628916275
"(0.0, 0.0, 0.0, 0.5, 0.0, 0.5)",1060.0,2.6280652771083974,2.611675588560428,-3.3091100965192015,0.7695431376904716,2.3367034080554485,4.124951815088441,11.239659739730053
"(0.0, 0.0, 0.0, 0.5, 0.1, 0.4)",1059.0,1.906458039593656,2.666774542517299,-3.747089800247455,0.05891421488880999,1.5742899534474868,3.3314758076557256,11.146516878968292
"(0.0, 0.0, 0.0, 0.5, 0.2, 0.3)",1061.0,2.011321346582414,2.669486962661918,-3.551177454712747,0.08365705957014534,1.7282725503223086,3.5385093541668864,10.610404664235668
"(0.0, 0.0, 0.0, 0.5, 0.3, 0.2)",1061.0,2.1167944295567347,2.6412077341203686,-3.446984180694969,0.22748753172474526,1.7766201611971084,3.4733502076243656,11.412416318335683
"(0.0, 0.0, 0.0, 0.5, 0.4, 0.1)",1061.0,2.1532174846173353,2.6141950051548397,-3.329172481638602,0.263614613344244,1.8072270497958298,3.4999441939104043,11.482260909107204
"(0.0, 0.0, 0.0, 0.5, 0.5, 0.0)",1059.0,2.6451020189553383,2.6550885938391353,-2.8914158845759883,0.7881524144203248,2.242736078025355,4.07728990233888,11.942091131487244
"(0.0, 0.0, 0.0, 0.6, 0.0, 0.4)",1059.0,1.128407727750843,2.6550609582893694,-5.481246469231577,-0.7746455340681981,0.9261230711357664,2.516242692877666,9.75182859589894
"(0.0, 0.0, 0.0, 0.6, 0.1, 0.3)",1061.0,0.8188889993664651,2.574041069420619,-5.52450408216598,-1.0317626166941396,0.6817200564158281,2.2088418933846468,8.985725656646594
"(0.0, 0.0, 0.0, 0.6, 0.2, 0.2)",1060.0,0.8056906353963487,2.6254588181280303,-5.589184428885761,-0.9752899488384532,0.6845755116118624,2.120591281366209,9.358081281928325
"(0.0, 0.0, 0.0, 0.6, 0.4, 0.0)",1060.0,1.2538937864098234,2.65645449729541,-5.144152961163504,-0.6503930812585714,1.0907214878602662,2.644587691956297,10.04401661804469
"(0.0, 0.0, 0.0, 0.7, 0.0, 0.3)",1060.0,0.1267862004199137,3.1050399129350295,-7.39683562608041,-2.397315731283585,0.35942395551562645,2.14011893622011,8.331641208282637
"(0.0, 0.0, 0.0, 0.7, 0.1, 0.2)",1059.0,-0.35214960487228353,3.0615394397226026,-7.766394638034615,-2.8208670610283497,-0.16390679832623728,1.6105206569063713,7.676103414340986
"(0.0, 0.0, 0.0, 0.7, 0.3, 0.0)",1060.0,0.05337557269156236,3.112187142183142,-7.532834234327843,-2.4099547694639525,0.1277210182119159,2.071781030359028,8.431796830791082
"(0.0, 0.0, 0.0, 0.8, 0.0, 0.2)",1061.0,-1.6562439282306085,3.556907648996951,-9.932415482843975,-4.994335246879341,-0.7968699801588458,0.9918256513986238,5.338880083460362
"(0.0, 0.0, 0.0, 0.8, 0.1, 0.1)",1060.0,-1.5605118588406919,3.702708700140023,-9.982303668649429,-5.135699513559192,-0.6397269345719316,1.146196059725028,5.699479172139942
"(0.0, 0.0, 0.0, 0.8, 0.2, 0.0)",1060.0,-1.1709102653793777,3.6857937855408083,-9.729206660196633,-4.750909317162147,-0.09173370148736346,1.6354393393929705,6.344941538457904
"(0.0, 0.0, 0.0, 0.9, 0.0, 0.1)",1061.0,-2.6811006242881827,4.3064834249536865,-11.992921347009391,-7.202573772448799,-0.7514026382525739,0.8701894281964643,3.8572691203481444
"(0.0, 0.0, 0.0, 0.9, 0.1, 0.0)",1059.0,-2.6612393670695593,4.307525747520565,-11.955603653282811,-7.196203153286071,-0.8841667797480187,0.8597383477219778,4.4265605048357415
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",1060.0,-3.643455843845124,5.013678508051536,-13.916643004507739,-9.051011294484566,-0.761751511302461,0.6791338976422551,2.7353842566935866
"(0.0, 0.0, 0.1, 0.0, 0.0, 0.9)",1061.0,7.511600557735087,5.015484150259099,-4.029774494780901,3.3005150551280718,8.065159545737648,11.487551188790368,23.85261182528114
